sessionN,session,monkey,noncanc_hi,noncanc_lo,nostop_hi,nostop_lo,hiFlag,hiDiff,loFlag,loDiff,both,nostop_val,noncanc_val,ssrtDiff,ssrtHigh,ssrtLow
1,jou-cmand1DR-20201110,joule,244.797348976135,299.007892608643,255.48791885376,319.979667663574,1,-10.6905698776245,1,-20.9717750549316,1,-64.4917488098145,-54.2105436325073,28.7210343375529,122.929946340116,94.2089120025635
2,jou-cmand1DR-20201112,joule,264.499187469482,326.287269592285,264.990568161011,363.66331577301,1,-0.49138069152832,1,-37.3760461807251,1,-98.6727476119995,-61.7880821228027,43.746062408522,106.635526697686,62.8894642891644
3,jou-cmand1DR-20201113,joule,257.658958435059,334.028720855713,259.686350822449,382.177233695984,1,-2.02739238739014,1,-48.148512840271,1,-122.490882873535,-76.3697624206543,-18.8792330431127,65.8619169472625,84.7411499903752
4,jou-cmand1DR-20201114,joule,243.998646736145,350.330829620361,247.500896453857,350.003242492676,1,-3.5022497177124,0,0.327587127685547,0,-102.502346038818,-106.332182884216,12.4426018604848,85.569774085597,73.1271722251122
5,jou-cmand1DR-20201116,joule,245.022773742676,281.968832015991,253.992915153503,335.994720458984,1,-8.97014141082764,1,-54.0258884429932,1,-82.001805305481,-36.9460582733154,35.1044904488201,152.722219906552,117.617729457732
6,jou-cmand1DR-20201118,joule,258.703470230103,325.304269790649,260.300874710083,355.512499809265,1,-1.59740447998047,1,-30.2082300186157,1,-95.2116250991821,-66.6007995605469,-68.1492423609683,66.3427454898232,134.491987850792
7,jou-cmand1DR-20201122,joule,243.486762046814,322.170853614807,251.14631652832,355.983376502991,1,-7.65955448150635,1,-33.8125228881836,1,-104.83705997467,-78.6840915679932,64.1174262098833,116.88990307201,52.7724768621271
8,jou-cmand1DR-20201123,joule,236.503124237061,301.998138427734,243.998765945435,341.012477874756,1,-7.49564170837402,1,-39.0143394470215,1,-97.0137119293213,-65.4950141906738,10.1229283495467,130.865379222604,120.742450873057
9,jou-cmand1DR-20201124,joule,245.145678520203,309.002161026001,254.033803939819,344.985485076904,1,-8.8881254196167,1,-35.9833240509033,1,-90.951681137085,-63.8564825057983,3.66883601779853,114.658193622779,110.98935760498
10,jou-cmand1DR-20201125,joule,247.173190116882,303.308963775635,253.010034561157,356.966495513916,1,-5.8368444442749,1,-53.6575317382813,1,-103.956460952759,-56.1357736587524,33.1913832022787,118.75468439526,85.5633011929816
