sessionN,monkey,low_ZFRTslope,high_ZFRTslope
1,joule,171.374912786776,205.362680286853
2,joule,203.621292484236,100.000000050835
3,joule,111.659346952753,190.686469265378
4,joule,125.111492661678,140.223181641006
5,joule,156.129863685099,276.258581462657
6,joule,140.733720300521,173.693603880387
7,joule,111.45672715243,219.109736646281
8,joule,170.394100746332,152.078622664329
9,joule,135.318789652663,299.999999993678
10,joule,151.790777521611,131.530810627728
11,darwin,103.325290709466,104.136380659647
12,darwin,153.290799205507,114.596970757958
13,joule,115.134482633764,144.089551509505
14,darwin,108.272472281884,116.394793220183
15,darwin,188.248832003505,146.209043302973
16,darwin,142.99009590497,100.000000002957
17,joule,203.439222037581,159.194984691297
18,darwin,171.848885730033,101.252694683448
19,darwin,132.094595552122,158.965829619993
20,darwin,178.244088656496,120.278873152564
21,darwin,145.115961026809,100.000000012445
22,darwin,137.204467152042,126.326562043149
23,darwin,137.521266951457,119.204301694704
24,joule,211.762947317125,161.271269661112
25,darwin,177.794148089569,123.01992612362
26,joule,142.764150372719,167.376157264597
27,joule,123.015047031026,238.365784607791
28,joule,111.323385945468,136.51318037865
29,darwin,150.362404498876,123.10402304631
30,darwin,111.946070361946,185.315573478946
31,darwin,129.635448811815,118.657581636234
32,darwin,188.925096569663,122.360421277576
33,joule,143.319012492741,108.969188933393
34,darwin,201.38436213813,147.504818320264
35,joule,225.82310544441,141.652571018249
36,joule,299.999999975676,118.421023703474
37,darwin,106.18023152349,177.281202172976
38,darwin,112.302384446836,170.772651608456
39,darwin,265.926294009489,125.424536427846
40,joule,119.264229284332,256.593636741137
41,darwin,117.896481127263,147.423030436339
42,darwin,147.803535312352,115.840494014789
43,darwin,130.832739557492,160.190429323632
44,darwin,165.781320828397,132.055150088999
45,darwin,139.029370776812,145.208066056939
46,joule,108.385331423086,100.000000106896
47,darwin,156.652687846826,123.124331908258
48,joule,144.058114611687,118.714869490244
49,darwin,122.911661631913,108.054615794845
50,joule,179.40347789326,100.000000053448
51,darwin,167.051713835075,124.905579156302
52,darwin,184.862249698016,123.076501274224
53,darwin,115.810880083527,161.041091607593
54,darwin,133.111458871314,138.285624280869
55,darwin,152.012218163072,122.695927493948
56,joule,171.807337634229,203.403992171154
57,darwin,183.078319201986,257.021305078096
58,darwin,158.03343238478,151.213100077149
59,joule,232.06074554141,215.072465358433
60,joule,104.325640412034,173.556411682643
61,darwin,126.940244000133,123.702873483547
62,darwin,191.856146458478,173.10785396678
63,darwin,129.558543699755,222.820566088658
64,joule,241.448497469909,129.257745968447
65,darwin,143.497573665076,100.000000000129
66,joule,118.004398248721,231.515485002751
67,darwin,165.409373818445,126.42822687092
68,joule,189.715567757269,199.738119100554
69,joule,206.665082206452,189.573115220901
70,darwin,131.263013897559,123.39540270541
71,joule,170.26309775153,299.999999999793
72,joule,100.000000030606,299.999999896845
73,joule,119.291994211627,121.005751282764
74,joule,286.897545278454,218.34718756035
75,darwin,123.656312774615,145.012556951793
76,darwin,135.369517270079,120.36486251157
77,joule,177.627409503006,192.838937722359
78,darwin,142.336921621028,221.033258471316
79,darwin,200.078296420257,112.759244352048
80,joule,176.310374481746,172.115552411598
81,joule,112.275078256174,194.465573473769
82,joule,138.25824445162,113.512651097757
83,joule,114.172382979066,115.013636617401
84,joule,138.11145513494,299.999999967887
85,joule,154.330375499172,153.385069114761
86,joule,205.900992059376,113.295154461616
87,joule,207.527264275431,139.02899432275
88,joule,144.915579577397,153.649860873843
89,darwin,191.043895155508,126.293770974713
90,darwin,126.092031011536,154.212311628576
91,darwin,110.870042702391,128.3040744624
92,darwin,114.717597295178,112.651740732942
93,darwin,135.5326515986,116.822401629255
94,darwin,171.044839568942,131.007074326894
95,joule,113.34219540461,110.61849274721
96,darwin,211.266156377113,122.013216374434
97,joule,185.982210821378,134.888269996114
98,joule,287.082325447425,299.999999892694
99,darwin,230.77493228381,121.732479409692
100,joule,154.812992630203,128.728934669966
101,darwin,161.780126528928,106.982826110359
102,darwin,166.917955897837,128.454126240445
103,joule,138.050139303952,214.692593838794
104,darwin,124.564840466397,106.10942349433
105,joule,299.999999996334,153.999471870238
106,darwin,175.6063918229,144.655503170899
107,joule,151.560420146701,215.790401555667
108,joule,117.914234807756,137.957840419116
109,darwin,166.919769219874,126.039208190883
110,darwin,155.01095538749,122.092114022554
112,darwin,199.993111852953,123.814479351051
116,darwin,158.966871560153,102.936982771054
117,darwin,217.225459373551,100.000000005076
1,Euler,100.110702024952,146.574990694734
2,Euler,153.505549961013,126.526087234435
3,Euler,137.298506949057,172.793960462075
4,Euler,100.000000000193,100.000000000141
5,Euler,134.468601744719,115.997952596833
6,Euler,123.304988926286,154.272489776172
7,Xena,282.288417878762,234.136686164431
8,Xena,100.000000001549,101.658495587169
9,Xena,100.000000000063,107.700126393739
10,Xena,102.637289892466,100.000000000021
11,Xena,299.999999969452,100.000000000001
12,Xena,114.295470360472,144.215175392672
13,Xena,100.000000001616,162.095756258244
14,Euler,148.667274854284,105.170523568351
15,Euler,100.000000024816,118.162328069298
