SessionN,Session,Monkey,NS_after_NC,NS_after_NS,NC_after_C,Error_hi,Error_lo,Stop_hi,Stop_lo
1,jou-cmand1DR-20201110,joule,304.681762472376,302.354883117929,317.557879396387,1.1323601566339,0.883505337155236,1.23729280386359,0.984932460710381
2,jou-cmand1DR-20201112,joule,317.997539744658,331.716552318766,337.868949513376,1.0713483587536,0.851199187600084,1.19091011857315,1.00212597217253
3,jou-cmand1DR-20201113,joule,356.900802472743,327.451525507747,353.128214092816,1.0573271766138,1.04101593363327,1.41876799895282,0.973965454366954
4,jou-cmand1DR-20201114,joule,312.910764989719,307.651724134173,310.654274622599,1.02945532883509,0.958673796701163,1.28474840902325,1.06498616747244
5,jou-cmand1DR-20201116,joule,305.211373425405,301.14166837343,321.088741565573,1.07260233597819,0.931865078707463,1.20376641598233,0.985290856786731
6,jou-cmand1DR-20201118,joule,326.953629652659,314.494257387908,349.939197301865,1.05294676480157,0.855719217544244,1.28089844312051,0.958044246361751
7,jou-cmand1DR-20201122,joule,309.132649980742,317.935383656785,331.615905761719,1.00165324134553,0.970606078218625,1.06795761193912,1.10211367438961
8,jou-cmand1DR-20201123,joule,291.345387134912,309.128135881926,316.199040648961,0.974390826831692,0.960903440037279,1.1764712862471,0.964208486942621
9,jou-cmand1DR-20201124,joule,319.664841500398,310.153286714418,319.716168121553,0.988544004113936,1.00363847788355,1.16216920872381,0.996935648066212
10,jou-cmand1DR-20201125,joule,321.110427379608,314.892951670611,309.522048714235,0.922003451213642,1.03283529337388,1.02148849199671,0.938696555404552
11,dar-cmand1DR-20201126,darwin,322.144047814126,329.250497459619,357.284924367091,1.1063669856174,1.05747580570215,1.380659399862,1.07382395159024
12,dar-cmand1DR-20201127,darwin,321.508514730236,299.936424316435,324.102641762914,1.26277542114291,1.13971814566512,1.32581098900144,1.09157255598292
13,jou-cmand1DR-20201129,joule,330.487083166074,331.122794069849,342.252144107112,1.0371047895997,0.890735317618252,1.1476154042753,1.01331095834705
14,dar-cmand1DR-20201201,darwin,327.072048964708,319.180073452667,346.429074511808,1.15181381389552,1.04457507450708,1.26602088841518,1.08289710724079
15,dar-cmand1DR-20201202,darwin,317.540237244139,305.660686584619,320.789921725238,1.1676050910863,1.01928534956287,1.272223985507,1.0711010839474
16,dar-cmand1DR-20201203,darwin,332.047341575085,318.036263915384,340.80647019779,1.19362688907173,1.0732520333256,1.24690509757921,1.05544215775159
17,jou-cmand1DR-20201212,joule,267.090840773149,264.870015057651,261.926978826523,0.996617153835222,0.97577603912743,1.0057113046432,0.995647623531441
18,dar-cmand1DR-20201213,darwin,340.31376862889,344.871253856554,350.513847951357,1.04181501880211,1.0247379022454,1.07369756772008,0.96700333459131
19,dar-cmand1DR-20201214,darwin,331.448756633921,338.194544680484,338.772855955979,1.05216065609971,0.999069401534638,1.09936201010992,0.96011000763202
20,dar-cmand1DR-20201215,darwin,349.846917958487,339.07735573523,344.576749870245,1.27181155595934,1.01723785853258,1.2680125792138,0.918814530749443
21,dar-cmand1DR-20201219,darwin,313.977548369655,324.623735878002,319.127945375692,1.07657786837385,1.06647324323428,1.10221268896871,0.993890623705087
22,dar-cmand1DR-20201220,darwin,316.9687796483,322.484314441681,317.545757091865,1.13255908695793,1.01025035287022,1.18469717674896,0.896517078021752
23,dar-cmand1DR-20201221,darwin,321.697602506544,321.400734976805,326.031730498797,1.21231205366945,0.965534394276829,1.18424140165057,0.910761725288033
24,jou-cmand1DR-20201222,joule,277.881624252816,285.076285517493,289.849073458941,1.01632820567677,0.98151524974938,1.05637574118025,0.994921816543091
25,dar-cmand1DR-20201222,darwin,352.008022166587,344.972029956365,346.602505038244,1.18905375447646,1.06595298282461,1.14297496417137,0.909573359704335
26,jou-cmand1DR-20201223,joule,303.19788828999,305.627739736798,299.216545803446,1.01499900410205,0.950150207959379,1.11707200039277,0.959516484116226
27,jou-cmand1DR-20201224,joule,316.398046634815,310.751861572266,315.17847145305,1.0370705794633,0.969722010626758,1.13769131948605,0.971263012939646
28,jou-cmand1DR-20201227,joule,297.785059935382,294.267837415662,284.49807533851,0.994794841818469,0.920656671451144,1.11675672104584,0.939290705558859
29,dar-cmand1DR-20201228,darwin,353.096871875053,354.155137050777,357.459605088708,1.05331460347603,0.993681286991644,1.02025915070403,0.947863461722288
30,dar-cmand1DR-20201229,darwin,359.632901584401,354.907567749158,351.741072419402,1.18235929386344,1.05100764089934,1.13700814058543,0.904702513297851
31,dar-cmand1DR-20201231,darwin,369.430377039798,360.993434533928,361.661275721485,1.10540306593354,1.04120171709384,1.07091132545865,0.914079807999266
32,dar-cmand1DR-20210102,darwin,374.857725968232,371.205964734999,369.222698303369,1.12801400849527,0.984867338917683,1.10366855159685,0.885845988781479
33,jou-cmand1DR-20210103,joule,310.095507437022,299.529360655978,298.461713734463,1.01511344206971,0.999509169038455,1.06267572143031,0.945658181996774
34,dar-cmand1DR-20210103,darwin,363.710728159711,346.026386533465,357.075448067772,1.35899986198498,1.01698553611369,1.16371999527113,0.970563494928338
35,jou-cmand1DR-20210104,joule,305.466197038952,300.577068867656,299.866707367305,1.01935835943213,0.968369583389351,0.988210389283177,0.984962990719551
36,jou-cmand1DR-20210105,joule,300.067064808864,298.656839322537,307.797547309629,1.01067791941058,0.979950188223804,1.07947238813249,1.00108186128681
37,dar-cmand1DR-20210105,darwin,355.32470677523,349.14994722002,351.779705438858,1.23462264068896,1.0331757734385,1.13553722946069,0.995735137979142
38,dar-cmand1DR-20210107,darwin,388.718939997667,369.991239588311,373.485391661966,1.21517847015927,1.10234015292048,1.10954792297022,0.93439694788266
39,dar-cmand1DR-20210109,darwin,377.205453199499,383.288395224196,378.590614655439,1.14975022803447,1.10641778664163,1.0706383659586,0.903452853425865
40,jou-cmand1DR-20210110,joule,290.2889808019,293.194343508776,288.157265577743,1.00991161268848,1.0118141745136,0.989547289754377,0.970554384765899
41,dar-cmand1DR-20210110,darwin,375.769196058574,369.96116785154,380.207015472708,1.2047990862272,1.00160703774172,1.22910599334697,0.906070769361513
42,dar-cmand1DR-20210111,darwin,370.88575203453,364.854153962893,358.522234770356,1.21396870505774,1.04493729053459,1.12931633765334,0.921485050391267
43,dar-cmand1DR-20210112,darwin,391.176927596965,392.039771231127,386.902351669854,1.11357918036068,1.01360486346036,1.00874601265291,0.936633189626484
44,dar-cmand1DR-20210114,darwin,402.542685603236,388.196983468642,390.234403950827,1.09447232503682,1.03746965021301,1.09935055577686,1.0019530007529
45,dar-cmand1DR-20210115,darwin,393.451227779277,402.244717934552,396.597474093598,1.05558980168502,0.990734179518541,1.13619224843469,0.941088287984557
46,jou-cmand1DR-20210116,joule,270.433712628932,275.54878701524,278.800776039345,0.975419703643396,0.947284341670205,1.04910298281278,1.00146633284911
47,dar-cmand1DR-20210116,darwin,392.095794613729,384.140043574221,380.01161241262,1.17519050294705,1.04491633553228,1.11774164721025,0.942294262533784
48,jou-cmand1DR-20210118,joule,299.86304470471,295.779503202645,300.68267583847,1.03437291208588,0.946604778544952,1.00074471927244,0.951054523145553
49,dar-cmand1DR-20210120,darwin,392.454371581206,387.697582623707,390.951924026012,1.07662099405751,1.01913186446522,1.04037679904061,0.97647528661798
50,jou-cmand1DR-20210204,joule,280.321516889207,298.025182315281,301.114532412315,0.98892427625733,0.980048750966756,1.01907406493396,0.959324388447373
51,dar-cmand1DR-20210211,darwin,374.122266833847,369.886922097839,362.152443805211,1.18271850711568,1.0229473961895,1.04138288545189,0.917021752756042
52,dar-cmand1DR-20210213,darwin,389.455225660994,379.197832448018,377.322189227955,1.04417700116041,1.09623390027069,1.01611866647966,0.968697558959705
53,dar-cmand1DR-20210223,darwin,378.838831303166,382.635071096406,374.73155869378,1.05511483828268,1.04252670171029,1.05737714263472,0.909848408632278
54,dar-cmand1DR-20210225,darwin,404.304835065525,398.882159613129,402.187833553407,1.03362649119649,1.0759770128194,1.04914068191858,0.950317492512142
55,dar-cmand1DR-20210301,darwin,389.312879948676,374.66825743787,371.630633961071,1.15420561804335,1.00381090918438,1.05698505798115,0.918660301340259
56,jou-cmand1DR-20210302,joule,281.709633692346,298.210370913148,299.847451589441,0.964209142102818,0.913111904210993,1.08487223353017,0.959291013408029
57,dar-cmand1DR-20210304,darwin,404.443427210762,392.5338813821,402.034108455365,1.15026230474497,1.05393472352376,1.08161638017577,1.01082789788174
58,dar-cmand1DR-20210306,darwin,387.508764623958,386.302212905884,385.823603514787,1.13057771825326,1.01127346824618,1.14011238741719,0.883896634274403
59,jou-cmand1DR-20210311,joule,333.983048479608,319.057138628229,319.046373078317,1.06563618018129,1.11527978578371,1.23774242847907,1.05960441990348
